facility_type,source,name,epoch_name,operator,country,lat,lon,geo_precision,power_mw_it,h100_equivalents,chip_types,users,energy_companies,capex_usd_bn,address,ref,city,utility,osm_id,matched_osm
traditional,osm,KPN Telefoon Centrale,,KPN,NL,52.631967,4.742799,exact,,,,,,,,02584,Alkmaar,,2876408856,
traditional,osm,,,,TR,37.962845,32.524971,exact,,,,,,,,,,,2899028980,
traditional,osm,Дата-центр Миран-1,,,RU,59.965179,30.339517,exact,,,,,,,,,,,2901990872,
traditional,osm,Дата-центр Миран-2,,,RU,59.96381,30.339043,exact,,,,,,,,,,,2901990873,
traditional,osm,GWDG - Außenstelle,,,DE,51.547941,9.943988,exact,,,,,,,,,Göttingen,,2912338694,
traditional,osm,PLAY Centrum Danych DC1,,3S Data Center S.A.,PL,50.245476,19.063166,exact,,,,,,,,PLAY DC1,Katowice,,2978103914,
traditional,osm,Datacenter Gemert,,,NL,51.526337,5.704129,exact,,,,,,,,,De Mortel,,3014822814,
traditional,osm,NocRoom Miami IT Services,,,US,25.791545,-80.317748,exact,,,,,,,,,,,3406467087,
traditional,osm,NocRoom Miami IT Services,,,US,25.646562,-80.423435,exact,,,,,,,,,,,3406476814,
traditional,osm,Center for Computation & Technology (CCT),,,US,30.407446,-91.172545,exact,,,,,,,,,,,3468203102,
traditional,osm,"ЦОД ""Компрессор""",,,RU,55.749095,37.731415,exact,,,,,,,,,,,3695259879,
traditional,osm,The Pittock Internet Exchange,,Alco Properties,US,45.521425,-122.680562,exact,,,,,,,,,Portland,,3732415309,
traditional,osm,VSHosting s.r.o,,,CZ,50.060139,14.53026,exact,,,,,,,,,,,3761896088,
traditional,osm,M1 StackTelecom Datacenter,,,RU,55.626783,37.619934,exact,,,,,,,,,,,3830858695,
traditional,osm,NorthC Datacenter Eindhoven,,,NL,51.407849,5.458767,exact,,,,,,,,,Eindhoven,,3918634315,
traditional,osm,LyonIX 1 IN2P3,,,FR,45.782617,4.865745,exact,,,,,,,,,,,3979838931,
traditional,osm,Informationstechnikzentrum Bund (ITZBund),,,DE,50.126125,8.585659,exact,,,,,,,,,Frankfurt am Main,,4019998661,
traditional,osm,Sree Chithra Computer Centre,,,IN,8.545778,76.906174,exact,,,,,,,,,,,4045332681,
traditional,osm,NorthC Datacenter Delft,,NorthC,NL,51.987652,4.378242,exact,,,,,,,,,Delft,,4177046902,
traditional,osm,TelemaxX IPC2,,TelemaxX Telekommunikation GmbH,DE,49.019584,8.439803,exact,,,,,,,,,Karlsruhe,,4231017085,
traditional,osm,NorthC Nürnberg 1,,NorthC,DE,49.389641,11.176628,exact,,,,,,,,,Nürnberg,,4242731538,
traditional,osm,DEL PRADO .com.ec,,DEL PRADO .com.ec,EC,-0.244032,-78.502256,exact,,,,,,,,S6-170,Quito,,4270037002,
traditional,osm,Trabia-Network,,,MD,47.023129,28.837317,exact,,,,,,,,,Chișinău,,4325876836,
traditional,osm,Digital Realty (AMS15),,Digital Realty,NL,52.290146,4.677448,exact,,,,,,,,AMS15,Hoofddorp,,4353923475,
traditional,osm,,,Hansestadt Rostock,DE,54.082114,12.139071,exact,,,,,,,,,,,4370857289,
traditional,osm,,,,DE,54.084787,12.137104,exact,,,,,,,,,,,4370857290,
traditional,osm,Digital Realty AMS8,,Digital Realty,NL,52.276162,4.743312,exact,,,,,,,,AMS8,Rozenburg,,4530651158,
traditional,osm,Turkcell Superonline Yenibosna Veri Merkezi,,,TR,40.993451,28.827026,exact,,,,,,,,,,,4673303646,
traditional,osm,Verizon İstanbul Veri Merkezi,,,TR,40.993447,28.827091,exact,,,,,,,,,,,4673303647,
traditional,osm,Vocus Data Centre,,,AU,-33.914996,151.193159,exact,,,,,,,,,,,4686763486,
traditional,osm,Interactive Data Centre,,Interactive,AU,-33.816022,151.192489,exact,,,,,,,,,,,4686764434,
traditional,osm,Equinix AM4,,Equinix,NL,52.354273,4.961089,exact,,,,,,,,AM4,Amsterdam,,4753473817,
traditional,osm,Equinix AM3,,Equinix,NL,52.354611,4.960388,exact,,,,,,,,AM3,Amsterdam,,4753473931,
traditional,osm,Google Fiber,,Google,US,33.771568,-84.366859,exact,,,,,,,,,,,4879481820,
traditional,osm,Pathway Communications,,,CA,43.857356,-79.356543,exact,,,,,,,,,Markham,,4922135764,
traditional,osm,,,Cogent,FR,48.109867,-1.637296,exact,,,,,,,,,Rennes,,4975162489,
traditional,osm,Open Computing Facility,,,US,37.869852,-122.259823,exact,,,,,,,,,,,5146323411,
traditional,osm,Lumos Networks,,,US,37.415688,-79.142706,exact,,,,,,,,,,,5225685660,
traditional,osm,Adeo Datacenter ApS,,,DK,55.667729,12.367787,exact,,,,,,,,,,,5239733106,
traditional,osm,ColocationIX,,,DE,53.093894,8.79056,exact,,,,,,,,,,,5262515319,
traditional,osm,Servicio Televisión por Cable,,,CL,-32.996325,-71.507912,exact,,,,,,,,,Viña del Mar,,5321056354,
traditional,osm,Даталайн,,,RU,55.770444,37.71577,exact,,,,,,,,,,,5322272421,
traditional,osm,Central de Digitel,,Digitel,VE,10.220046,-68.008869,exact,,,,,,,,,,,5417338322,
traditional,osm,Archivio di Stato di Caserta,,Ministero dei Beni e delle Attività Culturali,IT,41.073833,14.351431,exact,,,,,,,,,,,5516773584,
traditional,osm,,,,BD,22.720152,89.069116,exact,,,,,,,,Banglalink Care,,,5617076047,
traditional,osm,Data Harbour,,ООО «ДатаПорт»,RU,51.716375,39.292226,exact,,,,,,,,,,,5618980929,
traditional,osm,Web Data Center,,АО «Датацентр»,RU,55.894375,37.406271,exact,,,,,,,,,,,5618980931,
traditional,osm,IT- und Medienzentrum,,Universität Rostock,DE,54.077395,12.106637,exact,,,,,,,,,,,5807803485,
traditional,osm,Rechenzentrum Citeq,,Stadt Münster,DE,51.974692,7.610291,exact,,,,,,,,,,,5812546640,
traditional,osm,European Business Reliance Centre (EBRC),,,LU,49.584323,6.113533,exact,,,,,,,,,,,5866595614,
traditional,osm,Telehouse Paris Voltaire,,,FR,48.856133,2.383304,exact,,,,,,,,,Paris,,6015635281,
traditional,osm,Scitis-Zen DataCenter Hitachi,,,FR,47.82375,1.920141,exact,,,,,,,,,Ardon,,6015712298,
traditional,osm,TelecityGroup Paris Courbevoie,,,FR,48.904632,2.257949,exact,,,,,,,,,Courbevoie,,6016440346,
traditional,osm,Rechenzentrum Paulstrasse 12,,AXA Winterthur,CH,47.500859,8.720685,exact,,,,,,,,WIN,,,6041696788,
traditional,osm,SFR Netcenter Strasbourg,,SFR,FR,48.568636,7.782151,exact,,,,,,,,,Strasbourg,,6102460998,
traditional,osm,Telehouse 1,,,FR,48.869732,2.344142,exact,,,,,,,,,,,6102483146,
traditional,osm,Interxion PAR6,,Digital Realty,FR,48.81521,2.403038,exact,,,,,,,,,Ivry-sur-Seine,,6102606448,
traditional,osm,THD Global 1,,,FR,45.936702,6.630613,exact,,,,,,,,,Sallanches,,6102739953,
traditional,osm,TDF ProxiCenter Bordeaux Bouliac,,,FR,44.819666,-0.505549,exact,,,,,,,,,,,6103694303,
traditional,osm,TDF ProxiCenter Lille Lambersart,,,FR,50.648598,3.039912,exact,,,,,,,,,Lambersart,,6110614473,
traditional,osm,TDF ProxiCenter de Rennes-Cesson,,,FR,48.124685,-1.627644,exact,,,,,,,,,Cesson-Sévigné,,6110817631,
traditional,osm,Colt Paris 2,,,FR,48.897272,2.322178,exact,,,,,,,,,Paris,,6121864803,
traditional,osm,Colt Paris 1,,,FR,48.835225,2.39811,exact,,,,,,,,,,,6121873072,
traditional,osm,Colt Lyon,,,FR,45.758843,4.867561,exact,,,,,,,,,,,6121906640,
traditional,osm,,,,FR,45.724276,4.816801,exact,,,,,,,,,,,6121968632,
traditional,osm,Wiit AG DUS,,Wiit AG,DE,51.2668,6.817259,exact,,,,,,,,,Düsseldorf,,6172732200,
traditional,osm,Bouygues Telecom Montigny-le-Bretonneux,,Bouygues Telecom,FR,48.794449,2.03631,exact,,,,,,,,,Montigny le Bretonneux,,6174610289,
traditional,osm,Equinix PA7,,Equinix,FR,48.902239,2.36953,exact,,,,,,,,PA7,Aubervilliers,,6174794770,
traditional,osm,Cogent Nantes,,,FR,47.20264,-1.55044,exact,,,,,,,,,Nantes,,6175277339,
traditional,osm,Cogent Paris 1,,,FR,48.907123,2.241631,exact,,,,,,,,,La Garenne Colombes,,6175333480,
traditional,osm,Cogent Poitiers,,,FR,46.588421,0.340018,exact,,,,,,,,,Poitiers,,6175354710,
traditional,osm,,,,FR,49.135971,2.257155,exact,,,,,,,,,,,6205137527,
traditional,osm,LASOTEL PIXEL69,,,FR,45.757408,4.899658,exact,,,,,,,,,,,6212420800,
traditional,osm,ELB Group - DATACENTER LYON 3,,,FR,45.771976,4.871804,exact,,,,,,,,,,,6212483563,
traditional,osm,"SynAApS - SaaS, PaaS, Housing",,,FR,45.784535,4.888239,exact,,,,,,,,,,,6212512538,
traditional,osm,Adista Saint-Étienne,,,FR,45.458688,4.396381,exact,,,,,,,,,Saint-Étienne,,6212785490,
traditional,osm,Etix Vendée #2,,,FR,46.515497,-1.747913,exact,,,,,,,,,Olonne-sur-Mer,,6213121089,
traditional,osm,Colt Telecom,,,BE,50.884623,4.450036,exact,,,,,,,,,,,6215733985,
traditional,osm,OVHcloud Paris,,,FR,48.888314,2.376468,exact,,,,,,,,,Paris,,6222911368,
traditional,osm,Scaleway Datacenter DC4,,Scaleway,FR,48.829557,2.295995,exact,,,,,,,,,,,6229455977,
traditional,osm,Telia ROSY Villepinte,,,FR,48.972902,2.510072,exact,,,,,,,,,Villepinte,,6289312996,
traditional,osm,Ad Valem technologies TDF,,,FR,48.928059,2.341078,exact,,,,,,,,,Saint-Denis,,6289367991,
traditional,osm,Alphalink Telco Center,,,FR,48.905623,2.259486,exact,,,,,,,,,Courbevoie,,6289527565,
traditional,osm,Level (3) Le Capitole Nanterre,,Lumen Technologies,FR,48.887827,2.214235,exact,,,,,,,,,Nanterre,,6289564874,
traditional,osm,Prosodie Boulogne,,,FR,48.836114,2.235126,exact,,,,,,,,,Boulogne-Billancourt,,6289587203,
traditional,osm,KHEOPS Organisation Vélizy-Villacoublay,,,FR,48.77854,2.214803,exact,,,,,,,,,Vélizy-Villacoublay,,6289605233,
traditional,osm,Cogent Paris 2,,Cogentco,FR,48.784202,2.206945,exact,,,,,,,,,Vélizy-Villacoublay,,6289632564,
traditional,osm,KHEOPS Organisation Plessis-Robinson,,,FR,48.774203,2.237982,exact,,,,,,,,,Le Plessis-Robinson,,6289682223,
traditional,osm,Acropolis Telecom Paris-Nation,,,FR,48.842882,2.404097,exact,,,,,,,,,Paris,,6289753941,
traditional,osm,Sungard AS IT,,,FR,48.836919,2.641173,exact,,,,,,,,,Lognes,,6289858502,
traditional,osm,Alionis DC1,,,FR,48.68872,2.213779,exact,,,,,,,,,Villebon Sur Yvette,,6289873866,
traditional,osm,Digi (RCS & RDS) Craiova,,Digi România SA,RO,44.317607,23.801023,exact,,,,,,,,,Craiova,,6345712694,
traditional,osm,Digital Realty (AMS16),,Digital Realty,NL,52.290766,4.678621,exact,,,,,,,,AMS16,Hoofddorp,,6371060723,
traditional,osm,Rack59 Data Center,,,US,35.467205,-97.649745,exact,,,,,,,,,Oklahoma CIty,,6401035673,
traditional,osm,Rechenzentrum Akquinet,,,DE,53.700032,9.99373,exact,,,,,,,,,,,6412799049,
traditional,osm,DEVESOFFT S.A.,,,EC,-0.197352,-78.427668,exact,,,,,,,,,,,6518648227,
traditional,osm,Nodo FO REFSA Tel  - VILLA 213,,REFSA,AR,-26.184087,-59.363239,exact,,,,,,,,,,,6519075547,
traditional,osm,Telekom,,"Slovak Telekom, a.s.",SK,48.698225,21.260204,exact,,,,,,,,,,,6519090391,
traditional,osm,University Town Center,,,PH,12.070392,124.596836,exact,,,,,,,,,,,6528034100,
traditional,osm,IPHOST Datacenter,,,MD,47.007945,28.8834,exact,,,,,,,,,,,6551211354,
traditional,osm,Fundação CEPRO,,,BR,-5.087734,-42.802385,exact,,,,,,,,,Teresina,,6566811047,
traditional,osm,earthDATAsafe,,Kapsch BusinessCom AG,AT,47.449138,15.338173,exact,,,,,,,,,Kapfenberg,,6578896177,
traditional,osm,noris network AG Rechenzentrum Hof,,noris network AG,DE,50.317625,11.896693,exact,,,,,,,,,Hof,,6596777359,
traditional,osm,Oso Grande,,Oso Grande,US,35.092501,-106.653671,exact,,,,,,,,OSO,Albuquerque,,6625492701,
traditional,osm,Crypt Logic,,Crypt Logic LTD,BG,42.694242,23.316826,exact,,,,,,,,,,,6633118901,
traditional,osm,Data Center Kominfo Kota Dumai,,Kominfo,ID,1.678661,101.460352,exact,,,,,,,,,Dumai,,6652520833,
traditional,osm,Rechenzentrum,,Hochschul-IT-Zentrum,DE,49.25724,7.045063,exact,,,,,,,,,,,6680163795,
traditional,osm,ISS Data Centre South (DCS),,,IE,53.280694,-9.059757,exact,,,,,,,,,,,6696027683,
traditional,osm,Data center Roma Capitale,,Roma Capitale,IT,41.832689,12.469642,exact,,,,,,,,,Roma,,6697593261,
traditional,osm,The Weaver,,,ES,38.293841,-0.589221,exact,,,,,,,,,,,6726073926,
traditional,osm,"Akshaya Center , Maikavu",,,IN,11.402835,75.977199,exact,,,,,,,,KZD188,,,6728930318,
traditional,osm,Internet és KTV Fejállomás,,DIGI Távközlési és Szolgáltató Kft.,HU,48.074433,19.294082,exact,,,,,,,,,,,6743711262,
traditional,osm,Morgan Wireless,,,US,39.630985,-78.22532,exact,,,,,,,,,Bath (Berkeley Springs),,6793837329,
traditional,osm,Bitviking,,,IT,45.14667,10.798655,exact,,,,,,,,,Mantova,,6835335762,
traditional,osm,Lab 7,,,MA,33.537992,-5.107622,exact,,,,,,,,,,,6852120817,
traditional,osm,Lab 11,,,MA,33.539277,-5.108301,exact,,,,,,,,,,,6852120823,
traditional,osm,Lab 8b,,,MA,33.53838,-5.108255,exact,,,,,,,,,,,6852120855,
traditional,osm,LTS Lab,,,MA,33.538961,-5.107329,exact,,,,,,,,,,,6852120871,
traditional,osm,VIRTBIZ,,,US,32.782546,-96.782815,exact,,,,,,,,,Dallas,,6856057098,
traditional,osm,Cogent,,Cogent Communications,FR,44.862992,-0.555451,exact,,,,,,,,,,,6898386156,
traditional,osm,Equinix SO1,,Equinix,BG,42.66852,23.395401,exact,,,,,,,,,,,6901177202,
traditional,osm,OIZ,,,CH,47.415257,8.564131,exact,,,,,,,,,,,6953917431,
traditional,osm,مکنانت,,آفاق اندیش داده پردیس,IR,35.73528,51.843725,exact,,,,,,,,,پردیس,,6986417553,
traditional,osm,Server Room B2,,,MY,5.405762,103.091325,exact,,,,,,,,Unit Rangkaian,,,7001771562,
traditional,osm,Yettel Budafok MSC,,,HU,47.458393,19.052587,exact,,,,,,,,,Budapest,,7024322405,
traditional,osm,Nodo FO REFSA Tel - IRIGOYEN,,REFSA,AR,-26.17532,-58.833466,exact,,,,,,,,,,,7034694131,
traditional,osm,Centro de Datos Modular REFSA Telecomunicaciones,,,AR,-26.205855,-58.207081,exact,,,,,,,,no,,,7034711942,
traditional,osm,Shelter ARSAT FO,,,AR,-26.205974,-58.207039,exact,,,,,,,,,,,7034714852,
traditional,osm,Centro de Datos UPSTI,,,AR,-26.182862,-58.164591,exact,,,,,,,,,,,7034737759,
traditional,osm,Nodo FO REFSA Tel - TATANE,,,AR,-26.393697,-58.344513,exact,,,,,,,,,,,7034739991,
traditional,osm,Nodo FO REFSA Tel  - VILLAFAÑE,,REFSA,AR,-26.203746,-59.078957,exact,,,,,,,,,,,7034742245,
traditional,osm,Nodo FO REFSA Tel  - MANSILLA,,REFSA,AR,-26.65936,-58.630732,exact,,,,,,,,,,,7034744730,
traditional,osm,Nodo FO REFSA Tel - HERRADURA,,REFSA,AR,-26.488659,-58.311505,exact,,,,,,,,,,,7034745400,
traditional,osm,Nodo FO REFSA Tel - LAISHI,,REFSA TELECOMUNICACIONES,AR,-26.240027,-58.63025,exact,,,,,,,,,,,7034746627,
traditional,osm,Nodo FO REFSA Tel  - EL COLORADO,,REFSA,AR,-26.308449,-59.370829,exact,,,,,,,,,,,7034747256,
traditional,osm,Nodo FO - RED CAPRICORNIO FORMOSA,,,AR,-26.205738,-58.207132,exact,,,,,,,,,,,7034747705,
traditional,osm,Nodo FO REFSA Tel  - VILLA ESCOLAR,,REFSA,AR,-26.621454,-58.670667,exact,,,,,,,,,,,7034753291,
traditional,osm,Bramar,,Bramar C.A,VE,10.080209,-69.333306,exact,,,,,,,,,,,7054597423,
traditional,osm,联想售后服务中心(银盆路店),,,CN,28.220524,112.949912,exact,,,,,,,,,,,7074394965,
traditional,osm,长沙市交通事故快处快赔服务中心,,,CN,28.230916,112.927932,exact,,,,,,,,,,,7074557136,
traditional,osm,中南大学后勤生活服务中心,,,CN,28.224854,112.935326,exact,,,,,,,,,,,7075542867,
traditional,osm,,,Delska,LV,56.889193,24.231972,exact,,,,,,,,,,,7078682214,
traditional,osm,CyrusOne Amsterdam I,,CyrusOne,NL,52.383037,4.703403,exact,,,,,,,,,Halfweg,,7080092091,
traditional,osm,G-Tech,,,IN,10.580782,76.026312,exact,,,,,,,,,,,7111502342,
traditional,osm,FirstLight Data Center,,FirstLight,US,43.657839,-70.261379,exact,,,,,,,,,Portland,,7171975407,
traditional,osm,Big Data Exchange Singapore Data Center SIN1,,,SG,1.323917,103.891607,exact,,,,,,,,,Singapore,,7196501537,
traditional,osm,Data Center do Estado,,,CV,14.926322,-23.495967,exact,,,,,,,,,,,7201149878,
traditional,osm,中国电信,,,CN,28.418843,118.82094,exact,,,,,,,,,,,7207404976,
traditional,osm,,,,CA,49.274393,-122.912312,exact,,,,,,,,,,,7259975451,
traditional,osm,Learning GIS!,,,US,40.42179,-86.914155,exact,,,,,,,,,,,7264976228,
traditional,osm,Agricultural and Biological Engineering,,,US,40.421854,-86.916545,exact,,,,,,,,,,,7264976991,
traditional,osm,st marys press,,,IN,9.386972,76.842161,exact,,,,,,,,,,,7309643867,
traditional,osm,adharam writing center,,,IN,9.387181,76.843182,exact,,,,,,,,,,,7309786609,
traditional,osm,Windstream Communications,,,US,35.881397,-78.851552,exact,,,,,,,,,Durham,,7324132050,
traditional,osm,Level 3 Communications,,,US,35.881364,-78.851573,exact,,,,,,,,,Durham,,7324132051,
traditional,osm,Akshaya,,,IN,9.562434,76.576921,exact,,,,,,,,KTM109,,,7334643448,
traditional,osm,"Akshaya Centre, Thottuva, Kuravilangad",,,IN,9.755112,76.544135,exact,,,,,,,,KTM147,,,7339689575,
traditional,osm,中佳 Zhongjia,,,PH,14.424957,120.9436,exact,,,,,,,,,Imus,,7350460428,
traditional,osm,Maan Group,,Privat,NO,58.860111,5.59835,exact,,,,,,,,,,,7405586142,
traditional,osm,REG.AM,,GlobalAr LLC,AM,40.175649,44.517156,exact,,,,,,,,,,,7427576130,
traditional,osm,Common dervice centre,,,IN,9.244999,76.671007,exact,,,,,,,,,,,7463694084,
traditional,osm,"Akshaya Centre, Thripperumthura",,,IN,9.287596,76.524649,exact,,,,,,,,ALP119,,,7464548386,
traditional,osm,asianet cable,,,IN,9.252605,76.521714,exact,,,,,,,,,,,7470528513,
traditional,osm,,,,IN,9.360079,76.588045,exact,,,,,,,,,,,7472880601,
traditional,osm,Gtec,,,IN,11.312194,75.82772,exact,,,,,,,,,,,7473070617,
traditional,osm,Nortech Infonet Pvt,,,IN,10.020168,76.30983,exact,,,,,,,,,,,7474151786,
traditional,osm,Zion Communication,,,IN,9.330997,76.926391,exact,,,,,,,,,,,7475612940,
traditional,osm,computer center,,,IN,9.569896,76.639761,exact,,,,,,,,,,,7488354871,
traditional,osm,4ServiceSolutions,,,IT,45.55331,10.785151,exact,,,,,,,,,Affi,,7500843901,
traditional,osm,Cogent,,"Cogent Communications, Inc.",FR,45.189635,5.736914,exact,,,,,,,,,,,7522025783,
traditional,osm,Wayratechs,,,EC,-1.656163,-78.667525,exact,,,,,,,,,,,7530756786,
traditional,osm,OptimumHQ,,,US,33.380415,-111.752668,exact,,,,,,,,,Mesa,,7557854384,
traditional,osm,The Chatfield Group,,,US,33.380601,-111.752889,exact,,,,,,,,,Mesa,,7557868585,
traditional,osm,"Piyhost - Web, Software Developer",,Piyhost,ID,-6.297596,106.732536,exact,,,,,,,,,South Tangerang,,7574341006,
traditional,osm,All About Serving Process Server,,,US,33.319916,-111.809686,exact,,,,,,,,,Chandler,,7578821329,
traditional,osm,Centre de données d'Hydro-Québec,,Hydro-Québec,CA,45.883905,-72.527888,exact,,,,,,,,,Drummondville,,7683756060,
traditional,osm,Emailage,,,US,33.302965,-111.840539,exact,,,,,,,,,,,7737996606,
traditional,osm,Open Skies One,,prego. services GmbH,DE,49.224955,7.039622,exact,,,,,,,,,Saarbrücken,,7747327592,
traditional,osm,Akshaya Centre,,,IN,10.94632,76.138408,exact,,,,,,,,MPM136,,,7750482363,
traditional,osm,Next Generation Data,,Next Generation Data,GB,51.555019,-3.038272,exact,,,,,,,,,Newport,,7778067710,
traditional,osm,Alliance Technology,,,US,33.379986,-111.728405,exact,,,,,,,,,Mesa,,7821940847,
traditional,osm,Redcentric Cambridge,,Redcentric,GB,52.230127,0.150862,exact,,,,,,,,,Cambridge,,7829977772,
traditional,osm,,,,CA,49.264798,-123.103763,exact,,,,,,,,,,,7852403847,
traditional,osm,,,Tucha,UA,49.552016,25.60714,exact,,,,,,,,,,,7873156431,
